model_path,region,project_name,g_hi,g_cnt,p_hi,p_cnt,duplicate
V:\projects\p00542_cpra_2020_lwi_t10\99_import\S3\Region5\deliverables\2023_0209_ToDOTD_Hydraulic_Model_Setup_MermentauHeadwatersHUC8\Model\MH_RAS_1D_09FEB2023\MH_Bayou Blue,Region5,MH_BayouBlueNetwork,MH_BayouBlueNetwork.g06,1,MH_BayouBlueNetwork.p06,1,True
V:\projects\p00542_cpra_2020_lwi_t10\99_import\S3\Region5\deliverables\2023_0127_ToDOTD_Hydraulic_Model_Setup_2_AtchafalayaHUC8\Model\AA_AtchRi_RAS_27JAN2023,Region5,AA_Atchafalaya_Ri,AA_Atchafalaya_Ri.g02,1,AA_Atchafalaya_Ri.p10,2,True
V:\projects\p00542_cpra_2020_lwi_t10\99_import\S3\Region4\deliverables\20230606_08080206_LC_RAS2DModelSetupP2,Region4,LC_LowerCalcasieu,LC_LowerCalcasieu.g01,1,LC_LowerCalcasieu.p08,3,True
V:\projects\p00542_cpra_2020_lwi_t10\99_import\S3\Region4\deliverables\20230606_08080205_WF_RAS1D2DModelSetupP2\WF_WestForkCalcasieu-2D,Region4,WF_WestForkCalcasie,WF_WestForkCalcasie.g01,2,WF_WestForkCalcasie.p02,3,False
V:\projects\p00542_cpra_2020_lwi_t10\99_import\S3\Region4\deliverables\20230606_08080205_WF_RAS1D2DModelSetupP2\WF_WestForkCalcasieu-1D,Region4,WF_WestForkCalcasieu,WF_WestForkCalcasieu.g03,2,WF_WestForkCalcasieu.p11,3,True
V:\projects\p00542_cpra_2020_lwi_t10\99_import\S3\Region4\deliverables\20230504_08080203_UC_RAS1D2DModelSetupP2\UC_UpperCalcasieu-2D,Region4,UC_UpperCalcasieu,UC_UpperCalcasieu.g01,1,UC_UpperCalcasieu.p02,3,True
V:\projects\p00542_cpra_2020_lwi_t10\99_import\S3\Region4\deliverables\20230504_08080203_UC_RAS1D2DModelSetupP2\UC_UpperCalcasieu-1D,Region4,UC_Calcasieu,UC_Calcasieu.g01,1,UC_Calcasieu.p02,2,False
V:\projects\p00542_cpra_2020_lwi_t10\99_import\S3\Region4\deliverables\20230321_12010005_SL_RASModelSetup,Region4,LowerSabine,LowerSabine.g01,1,LowerSabine.p02,2,False
V:\projects\p00542_cpra_2020_lwi_t10\99_import\S3\Region4\deliverables\20230310_12010004_TO_RASModelSetup,Region4,TO_ToledoBend,TO_ToledoBend.g01,1,TO_ToledoBend.p02,2,False
V:\projects\p00542_cpra_2020_lwi_t10\99_import\S3\Region4\deliverables\20230310_08080204_WH_RASModelSetup,Region4,WH_Whisky_Chitto,WH_Whisky_Chitto.g17,2,WH_Whisky_Chitto.p19,3,False
V:\projects\p00542_cpra_2020_lwi_t10\99_import\S3\Region4\deliverables\20221222_08080206_LC_RAS2DModelSetupP1\LC_LowerCalcasieu,Region4,LC_LowerCalcasieu,LC_LowerCalcasieu.g01,1,LC_LowerCalcasieu.p08,3,True
V:\projects\p00542_cpra_2020_lwi_t10\99_import\S3\Region4\deliverables\20221222_08080205_WF_RAS2DModelSetupP1\WF_WestForkCalcasieu,Region4,WF_WestForkCalcasieu,WF_WestForkCalcasieu.g01,2,WF_WestForkCalcasieu.p03,4,True
V:\projects\p00542_cpra_2020_lwi_t10\99_import\S3\Region4\deliverables\20221222_08080203_UC_RAS2DModelSetupP1\UC_UpperCalcasieu,Region4,UC_UpperCalcasieu,UC_UpperCalcasieu.g01,1,UC_UpperCalcasieu.p40,3,True
V:\projects\p00542_cpra_2020_lwi_t10\99_import\S3\Region4\20230822_CTZ_ModelDevelop_DataAnalysis\02_Model\CTZ_08.03.23_Internal_QC,Region4,LC_LowerCalcasieu,LC_LowerCalcasieu.g01,1,LC_LowerCalcasieu.p12,8,True
